Product Name,Product Rating,Product Price,Product ID
Signature by Levi Strauss & Co. Gold Label Women's Heritage High-Rise Loose Straight (Also Available in Plus Size),4.2,17.5,B0B1Q1X68H
Amazon Essentials Women's Skinny Jean,4.2,39.9,B0BKR2T14Q
WallFlower Women's Sassy Skinny High-Rise Insta Soft Juniors Jeans (Standard and Plus),4.2,43.98,B07RM838ZM
KUNMI Women's Ripped Boyfriend Slim Fit Jeans Frayed Distressed Stretchy Denim Pants,4.4,38.99,B07N9JDYXX
Lee Women’s Plus Size Legendary Mid Rise Bootcut Jean,3.9,40.99,B0CC28T38G
Lee Women's Plus-Size Flex Motion Regular Fit Bootcut Jean,4.3,69.74,B089RPXKBX
PLNOTME Women's High Waisted Jeans Boyfriend Baggy Straight Leg Casual Denim Pants,4.4,47.7,B07DJ5HT1B
LOLONG High Waisted Ripped Flare Jeans for Women Casual Distressed Pants,3.8,38.99,B0B17TKFBM
Sidefeel Women's Wide Leg Jeans High Waisted Stretchy Straight Leg Jeans Buttoned Loose Denim Pants with Pocket,4.0,19.07,B0C6LXS72B
Levi's Women's Premium Ribcage Straight Ankle Jeans,4.4,39.99,B0C4QCTSJV
Levi's Women's 94 Baggy Wide Leg Jean (Standard and Plus),4.2,36.99,B082KQ7B16
Sidefeel Women's Boyfriend Jeans Stretchy Ripped Distressed Denim Pants Size 4-18,4.2,31.66,B0BNJVFQZS
Lee Women's Plus Size Instantly Slims Classic Relaxed Fit Monroe Straight Leg Jean,3.8,19.19,B0BHDS2KRZ
roswear Women's Essentials Ripped Mid Rise Destroyed Skinny Jeans,4.3,34.99,B00BJ12606
KUNMI Womens Curvy High Waist Stretch Butt Lifting Skinny Colombian Jeans,4.2,28.49,B094MZY6BM
Lee Women's Legendary Mid Rise Flare Jean,3.8,39.99,B0973YB8BQ
Gloria Vanderbilt Women's Classic Amanda High Rise Tapered Jean,4.4,41.7,B0C5N8GJS5
KUNMI Women's Mid Waisted Skinny Ripped Jeans Slim Fit Distressed Stretchy Denim Pants,4.3,40.44,B000NZXMS4
HYBRID Women's Butt Lift Super Comfy Stretch Denim Skinny Yoga Jeans,4.3,35.7,B0CFTPBQ2P
RHODANTHE Women's Ripped Boyfriend Jeans Stretch Skinny Jean Trendy Distressed Straight Leg Jeans with Holes,4.1,33.03,B01E98C6QY
